Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Datetime,,,,,
2025-07-11 01:16:00+00:00,39670.140625,39670.69921875,39660.921875,39666.2109375,0
2025-07-11 01:17:00+00:00,39647.140625,39665.66015625,39641.5390625,39665.66015625,0
2025-07-11 01:18:00+00:00,39631.3515625,39650.96875,39630.80078125,39647.328125,0
2025-07-11 01:19:00+00:00,39631.7109375,39631.7109375,39619.71875,39628.328125,0
2025-07-11 01:20:00+00:00,39658.609375,39662.87109375,39632.08984375,39632.08984375,0
2025-07-11 01:21:00+00:00,39675.5390625,39677.109375,39656.21875,39656.41015625,0
2025-07-11 01:22:00+00:00,39686.16015625,39686.16015625,39672.96875,39676.421875,0
2025-07-11 01:23:00+00:00,39697.44921875,39697.44921875,39686.73046875,39688.3984375,0
2025-07-11 01:24:00+00:00,39713.21875,39713.21875,39698.1796875,39698.1796875,0
2025-07-11 01:25:00+00:00,39713.46875,39717.91015625,39706.7109375,39709.0,0
2025-07-11 01:26:00+00:00,39687.01953125,39705.71875,39685.98046875,39705.71875,0
2025-07-11 01:27:00+00:00,39694.12890625,39695.05078125,39686.53125,39688.4296875,0
2025-07-11 01:28:00+00:00,39705.9609375,39710.7109375,39695.328125,39695.328125,0
2025-07-11 01:29:00+00:00,39696.7890625,39710.1015625,39696.7890625,39705.51953125,0
2025-07-11 01:30:00+00:00,39701.69921875,39705.73046875,39691.01953125,39694.5390625,0
2025-07-11 01:31:00+00:00,39707.21875,39708.8984375,39692.55859375,39695.01171875,0
2025-07-11 01:32:00+00:00,39732.9296875,39732.9296875,39711.390625,39711.390625,0
2025-07-11 01:33:00+00:00,39729.30859375,39736.73828125,39726.91015625,39732.58984375,0
2025-07-11 01:34:00+00:00,39725.44140625,39728.58984375,39720.19140625,39728.58984375,0
2025-07-11 01:35:00+00:00,39716.6796875,39724.37890625,39707.71875,39724.37890625,0
2025-07-11 01:36:00+00:00,39726.19140625,39741.5390625,39718.3203125,39718.3203125,0
2025-07-11 01:37:00+00:00,39720.16015625,39722.66015625,39709.69140625,39722.66015625,0
2025-07-11 01:38:00+00:00,39723.55078125,39733.37109375,39722.421875,39726.91015625,0
2025-07-11 01:39:00+00:00,39727.23046875,39730.3203125,39724.28125,39724.69921875,0
2025-07-11 01:40:00+00:00,39743.01171875,39753.21875,39724.71875,39727.83984375,0
2025-07-11 01:41:00+00:00,39717.91015625,39742.73046875,39717.91015625,39742.73046875,0
2025-07-11 01:42:00+00:00,39735.19921875,39745.87109375,39714.2890625,39714.609375,0
2025-07-11 01:43:00+00:00,39732.21875,39732.21875,39726.44140625,39731.87109375,0
2025-07-11 01:44:00+00:00,39717.421875,39733.08984375,39715.12890625,39733.08984375,0
2025-07-11 01:45:00+00:00,39709.33984375,39727.08984375,39709.33984375,39716.7109375,0
2025-07-11 01:46:00+00:00,39717.62890625,39717.62890625,39709.3203125,39709.6796875,0
2025-07-11 01:47:00+00:00,39691.44140625,39716.3515625,39691.44140625,39715.8984375,0
2025-07-11 01:48:00+00:00,39701.75,39709.2890625,39691.58984375,39694.83984375,0
2025-07-11 01:49:00+00:00,39695.53125,39702.62890625,39695.53125,39700.19921875,0
2025-07-11 01:50:00+00:00,39669.19140625,39695.98046875,39669.19140625,39695.98046875,0
2025-07-11 01:51:00+00:00,39658.44140625,39673.33984375,39658.44140625,39673.33984375,0
2025-07-11 01:52:00+00:00,39659.4296875,39659.4296875,39654.9296875,39658.25,0
2025-07-11 01:53:00+00:00,39658.05859375,39663.58984375,39655.51953125,39662.5703125,0
2025-07-11 01:54:00+00:00,39627.12109375,39642.66015625,39627.12109375,39642.66015625,0
2025-07-11 01:55:00+00:00,39625.1796875,39625.51171875,39619.890625,39620.9296875,0
2025-07-11 01:56:00+00:00,39576.55859375,39622.19140625,39576.55859375,39622.19140625,0
2025-07-11 01:57:00+00:00,39588.3203125,39588.3203125,39571.3984375,39576.44921875,0
2025-07-11 01:58:00+00:00,39592.5390625,39597.55078125,39589.12109375,39589.12109375,0
2025-07-11 01:59:00+00:00,39568.671875,39593.51171875,39566.26171875,39590.2890625,0
2025-07-11 02:00:00+00:00,39592.5,39592.5,39571.390625,39571.390625,0
2025-07-11 02:01:00+00:00,39597.30078125,39607.08984375,39592.23828125,39592.23828125,0
2025-07-11 02:02:00+00:00,39599.37890625,39603.46875,39583.62890625,39603.46875,0
2025-07-11 02:03:00+00:00,39607.3203125,39616.671875,39603.73046875,39603.73046875,0
2025-07-11 02:04:00+00:00,39612.76171875,39616.140625,39608.19921875,39608.19921875,0
2025-07-11 02:05:00+00:00,39615.05859375,39615.05859375,39606.44140625,39607.609375,0
2025-07-11 02:06:00+00:00,39622.7109375,39622.7109375,39616.609375,39616.609375,0
2025-07-11 02:07:00+00:00,39616.0390625,39623.5703125,39615.55859375,39623.05078125,0
2025-07-11 02:08:00+00:00,39611.6015625,39617.9609375,39610.80859375,39617.05859375,0
2025-07-11 02:09:00+00:00,39594.73828125,39599.328125,39582.98828125,39599.328125,0
2025-07-11 02:10:00+00:00,39598.16015625,39601.7890625,39592.828125,39596.25,0
2025-07-11 02:11:00+00:00,39615.359375,39615.359375,39598.19140625,39598.19140625,0
2025-07-11 02:12:00+00:00,39615.01171875,39624.0390625,39612.62109375,39613.9296875,0
2025-07-11 02:13:00+00:00,39596.94140625,39615.8203125,39596.94140625,39615.8203125,0
2025-07-11 02:14:00+00:00,39595.3203125,39602.4609375,39594.48828125,39598.140625,0
2025-07-11 02:15:00+00:00,39607.16015625,39607.16015625,39607.16015625,39607.16015625,0
